Star,mag_s_v,color_s_v,mag_u_v,color_u_v,mag_b_v,color_b_v,mag_V,color_V,mag_v_w,color_v_w,mag_v_x,color_v_x,mag_v_p,color_v_p,mag_v_z,color_v_z
SA 94_06,8,-0.356,6,-0.374,5,-0.179,7,8.725,4,-0.09,6,-0.11,5,-0.149,6,-0.162
SA 94_07,8,2.466,5,2.128,6,0.801,8,8.855,4,0.491,6,0.831,6,0.945,7,1.041
SA 94_08,14,0.964,6,0.84,6,0.338,8,9.017,5,0.212,5,0.375,5,0.428,9,0.485
SA 94_10,8,0.14,5,0.154,5,0.064,7,10.083,4,0.055,5,0.106,6,0.1,10,0.11
SA 94_12,7,-0.476,6,-0.49,6,-0.28,8,10.488,6,-0.129,5,-0.187,6,-0.215,6,-0.247
SA_71 _07,9,1.599,8,1.416,8,0.581,8,10.305,4,0.398,8,0.673,6,0.771,7,0.885
SA_71_11,10,0.104,7,0.088,6,0.037,7,10.779,6,0.047,7,0.083,6,0.099,9,0.097
SA_71_14,9,1.317,6,1.14,6,0.471,7,11.264,5,0.301,9,0.509,11,0.585,8,0.65
SA_71_17,8,-0.2,6,-0.202,5,-0.079,7,11.757,4,0.015,6,0.043,7,0.06,9,0.066
SA_71_20,6,-0.219,6,-0.254,5,-0.121,7,12.072,5,0.009,6,0.02,9,0.016,9,0.01
SA_51_02,4,1.163,4,1,3,0.379,3,9.539,2,0.247,2,0.386,4,0.456,2,0.538
SA_51_03,5,-0.405,4,-0.599,3,-0.544,3,9.781,3,-0.355,3,-0.528,4,-0.559,3,-0.604
SA_51_11,4,1.182,3,1.015,3,0.393,4,10.743,3,0.257,3,0.404,5,0.48,3,0.565
SA_51_12,4,-0.266,4,-0.279,3,-0.113,4,10.649,3,0,3,0.001,5,0.003,4,0.005
SA_51_18,7,1.461,5,1.232,4,0.459,5,12.167,3,0.282,3,0.435,5,0.515,4,0.621
SA_51_20,6,-0.196,7,-0.207,4,-0.093,6,12.295,3,-0.009,5,-0.009,7,-0.02,4,-0.018
